"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.2012,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.1471,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.0448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.0362,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.0612,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1667,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.278,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.3768,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.4607,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.4886,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.5089,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.6941,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.8685,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.8634,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.7321,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.5685,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.3914,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",100.1749,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.7422,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",99.16832,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",98.65498,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.29041,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.09361,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.06916,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.13857,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.21774,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.2981,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.24348,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.29382,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.48268,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.62221,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.66304,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.53706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.19617,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",97.97732,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",97.89899,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.83583,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",97.98645,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.24619,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.42824,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.4641,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.51359,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.74313,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.98418,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.33568,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.71931,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.97061,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.0837,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.119,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.2501,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.3825,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.5542,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.6523,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.693,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.6879,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.701,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.6852,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.6019,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.5349,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.5249,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5666,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.7065,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.7891,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.8838,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.989,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",101.0178,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",101.0378,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.9765,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.8851,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.8485,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.7323,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5287,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3492,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2029,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3413,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4965,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5885,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.7148,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8911,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.0389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.2086,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3956,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.5744,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.6975,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.7111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.6534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.5789,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.5897,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.653,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.7149,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.7336,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.7687,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.794,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.848,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.8942,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.9082,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.8936,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.8326,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.7716,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.749,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.7326,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.6953,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.281,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.767,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-04",101.3752,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-05",101.9398,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-06",102.3233,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-07",102.5453,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-08",102.6092,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-09",102.4917,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-10",102.2885,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-11",102.0909,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2010-12",101.9461,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-01",101.8129,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-02",101.6168,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-03",101.2929,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.8918,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.4743,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.0817,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-07",99.72475,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.41879,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-09",99.18526,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-10",99.00116,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.85835,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.7735,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.7567,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.84847,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-03",99.08876,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-04",99.37736,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-05",99.5843,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-06",99.61204,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-07",99.53915,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-08",99.46714,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-09",99.46789,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.53013,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.63571,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-12",99.77437,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-01",99.91506,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-02",100.0217,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-03",100.0669,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-04",100.0792,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-05",100.0952,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-06",100.1434,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-07",100.2248,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-08",100.3436,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-09",100.5048,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-10",100.6734,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-11",100.802,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.8499,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.8427,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.8075,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.7627,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.7364,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.7633,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.8629,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.9646,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.9643,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.778,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.4985,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.2439,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.1007,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.0411,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.0276,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.0343,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.0221,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.94242,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.75984,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.54222,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.38019,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.34168,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.3709,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.39572,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.36755,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.3054,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.24253,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.20703,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.20319,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.24088,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.33318,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.45263,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.57143,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.67457,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.77354,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.88587,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0187,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.1393,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.1958,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.1512,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.0803,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.0886,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.2568,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.5065,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.7352,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.8696,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.9406,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.9899,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0401,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.0868,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.109,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.0819,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.0156,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.9132,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.7689,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.6018,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.4277,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",99.78841,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",99.65453,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.51586,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.39772,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.35198,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",99.41265,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",99.57462,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",99.70433,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",99.76996,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.77859,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.72021,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.63554,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.58836,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",99.6163,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",99.66322,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",99.71386,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-06",99.6609,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-07",99.45511,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.12006,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.8814,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-10",98.76552,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.61815,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.61245,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.76509,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-02",99.0185,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-03",99.31776,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-04",99.55801,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-05",99.67739,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-06",99.54103,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-07",99.2234,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.96297,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.77206,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.67818,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.69495,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.7247,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.71389,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.66154,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.59185,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.5587,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.56232,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.66852,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.9381,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.22506,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.39472,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.40025,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.26601,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.27325,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.32937,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.34307,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.37878,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.36549,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.33849,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.30917,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.26329,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.21904,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.16768,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.16565,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",99.2233,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",99.32607,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",99.49161,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",99.68611,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",99.85007,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",99.85683,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.77897,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.71896,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.7149,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.80047,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.93256,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.0108,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.1091,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.1102,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.0666,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.93146,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.85136,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.89933,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.0785,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.1405,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.104,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.0592,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.0893,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.1625,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.3123,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.4302,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.4987,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.5113,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.5575,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.6951,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.9044,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1126,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.0901,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9595,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.8069,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.7741,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.9052,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.9787,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.9597,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.8784,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.84,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.8091,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.7631,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.6465,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.5507,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.429,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.0275,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.2064,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.2771,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.2731,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.2312,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.2049,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.0495,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-09",99.895,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-10",99.81724,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.77304,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.7543,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.78462,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.75731,
