Month,Interest Rate,Consumer Confidence,Sales,Scored Labels
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5,0.15,98.24619,1000,992.813555097811
6,0.14,98.42824,1100,992.884880071072
7,0.09,98.4641,900,987.480747458091
8,0.1,98.51359,1250,994.679177106491
9,0.09,98.74313,870,993.73690425506
10,0.08,98.98418,900,992.548968928113
11,0.08,99.33568,885,991.152567754742
12,0.1,99.71931,995,993.368227547341
1,0.09,99.97061,750,918.69189673556
2,0.07,100.0837,780,918.086150100065
3,0.07,100.119,1050,923.438530400008
4,0.08,100.2501,995,928.895125589088
5,0.08,100.3825,1090,932.17506224242
6,0.09,100.5542,1080,936.765115597798
7,0.09,100.6523,1240,940.777130696844
8,0.09,100.693,1235,946.014256664226
9,0.09,100.6879,990,952.228910118888
10,0.09,100.701,1000,958.055113786029
11,0.09,100.6852,800,964.498141566321
12,0.09,100.6019,875,972.381848503631
1,0.12,100.5349,765,913.094768783911
2,0.12,100.5249,779,919.414004873675
3,0.11,100.5666,800,922.480875323785
4,0.11,100.7065,1115,925.600736515225
5,0.12,100.7891,1015,932.092486357866
6,0.13,100.8838,1005,938.32598112199
7,0.13,100.989,1108,942.186458117111
8,0.13,101.0178,997,947.677570484027
9,0.14,101.0378,999,955.505416848582
10,0.14,100.9765,978,962.919569097679
11,0.13,100.8851,750,968.827245411477
12,0.12,100.8485,800,973.565303683726
1,0.12,100.7323,600,908.881582626947
2,0.36,100.5287,640,970.906790909483
3,0.38,100.3492,1080,985.141556682687
4,0.36,100.2029,1110,990.072073255171
5,0.37,100.2385,1050,997.566962658993
6,0.37,100.3413,1270,1001.47866380192
7,0.37,100.4965,1265,1004.2719710511
8,0.4,100.5885,1200,1014.86091722622
9,0.4,100.7148,1118,1018.27104858855
10,0.4,100.8911,1005,1020.61401020495
11,0.41,101.0389,800,1025.71417069889
12,0.41,101.2086,1097,1028.19799872175
1,0.5,101.3956,765,976.383169426786
2,0.66,101.5744,790,1013.05536651355
3,0.66,101.6975,1085,1016.53379673963
4,0.66,101.7111,1260,1022.34932870931
5,0.91,101.6534,1300,1083.40944779555
6,0.91,101.5789,1300,1091.10533285758
7,0.91,101.5897,1175,1096.98062633303
8,1.06,101.653,1180,1133.96907341056
9,1.16,101.7149,1010,1160.24284062921
10,1.16,101.7336,1005,1165.94952128481
11,1.16,101.7687,820,1171.30617026373
12,1.16,101.794,800,1176.87198451286
1,1.4,101.848,730,1160.12950857741
2,1.42,101.8942,750,1169.54707011745
3,1.42,101.9082,1115,1175.35406472916
4,1.42,101.8936,1115,1181.77148043555
5,1.69,101.8326,1280,1247.19985696974
6,1.7,101.7716,1280,1256.75651832271
7,1.7,101.749,1265,1263.34468118845
8,1.91,101.7326,1300,1314.92766957513
9,1.91,101.6953,1956,1321.82958034618
10,1.92,100.281,1977,1360.27025804272
